date, pm25, pm10, o3, no2, so2, co
2023/12/18, 41, 28, 33, 9, 2, 3
2023/12/19, 43, 32, 34, 10, 2, 2
2023/12/20, 44, 18, 21, 10, 1, 2
2023/12/21, 22, 27, 24, 9, 2, 3
2023/12/22, 39, 36, 24, 10, 2, 3
2023/12/23, 56, 35, 24, 15, 2, 3
2023/12/24, 67, 26, 31, 8, 2, 2
2023/12/25, 40, 43, 36, 11, 3, 3
2023/12/26, 61, 50, 38, 16, 2, 4
2023/12/27, 76, 49, 28, 14, 2, 3
2023/12/28, 71, 27, 15, 14, , 2
2023/12/29, 55, 35, 34, 11, 1, 2
2023/12/30, 58, 49, 25, 14, 2, 3
2023/12/31, 88, 54, 46, 13, 1, 4
2024/1/1, 111, 54, 42, 8, 3, 4
2023/7/2, 18, 11, 25, 4, , 1
2023/7/3, 15, 11, 27, 4, , 1
2023/7/4, 21, 12, 26, 5, 1, 1
2023/7/5, 19, 11, 18, 4, , 1
2023/7/6, 17, 13, 16, 4, , 1
2023/7/7, 22, 17, 17, 5, 1, 1
2023/7/8, 43, 21, 20, 4, 1, 1
2023/7/9, 54, 14, 18, 3, , 
2023/7/10, 33, 12, 19, 5, , 1
2023/7/11, 18, 12, 18, 5, 1, 1
2023/7/12, 18, 13, 27, 6, , 1
2023/7/13, 30, 19, 27, 5, 1, 1
2023/7/14, 27, 20, 30, 6, , 1
2023/7/15, 33, 20, 36, 5, , 1
2023/7/16, 45, 17, 28, 4, 1, 1
2023/7/17, 37, 13, 32, 5, 1, 1
2023/7/18, 27, 15, 35, 5, , 1
2023/7/19, 20, 13, 29, 5, , 1
2023/7/20, 23, 15, 29, 4, , 1
2023/7/21, 25, 11, 33, 3, , 1
2023/7/22, 16, 12, 30, 3, , 1
2023/7/23, 21, 9, 25, 3, , 1
2023/7/24, 15, 16, 23, 4, 2, 1
2023/7/25, 14, 20, 30, 5, 2, 1
2023/7/26, 26, 22, 24, 6, , 2
2023/7/27, 48, 13, 8, 4, , 1
2023/7/28, 21, 7, 22, 1, , 
2023/7/29, 12, 19, 29, 3, , 1
2023/7/30, 27, 16, 25, 5, 1, 1
2023/7/31, 31, 20, 29, 4, , 2
2023/8/1, 39, 21, 36, 4, , 1
2023/8/2, 41, 18, 21, 4, , 1
2023/8/3, 34, 19, 34, 3, , 1
2023/8/4, 43, 21, 20, 2, , 
2023/8/5, 25, 24, 24, 2, , 1
2023/8/6, 35, 28, 23, 2, , 1
2023/8/7, 41, 23, 22, 3, , 1
2023/8/8, 41, 18, 23, 3, , 1
2023/8/9, 28, 13, 19, 3, 1, 1
2023/8/10, 23, 12, 17, 5, 1, 1
2023/8/11, 22, 13, 20, 5, 2, 2
2023/8/12, 25, 17, 28, 3, 1, 1
2023/8/13, 28, 15, 20, 3, 1, 1
2023/8/14, 22, 15, 19, 3, , 1
2023/8/15, 26, 20, 21, 4, , 1
2023/8/16, 33, 19, 18, 3, , 1
2023/8/17, 30, 17, 18, 7, , 2
2023/8/18, 34, 15, 35, 5, 1, 2
2023/8/19, 27, 11, 20, 3, 1, 1
2023/8/20, 18, 10, 24, 2, 1, 1
2023/8/21, 11, 9, 20, 3, , 1
2023/8/22, 12, 10, 19, 3, 1, 1
2023/8/23, 16, 12, 23, 3, 1, 1
2023/8/24, 19, 13, 23, 5, , 1
2023/8/25, 20, 18, 46, 5, 1, 2
2023/8/26, 36, 18, 30, 4, 1, 1
2023/8/27, 39, 16, 25, 4, 2, 1
2023/8/28, 27, 14, 26, 3, 1, 1
2023/8/29, 30, 16, 34, 6, 1, 1
2023/8/30, 33, 27, 43, 4, 1, 2
2023/8/31, 62, 16, 24, 5, , 2
2023/9/1, 46, 15, 29, 6, 1, 1
2023/9/2, 30, 18, 35, 4, , 1
2023/9/3, 31, 19, 18, 3, , 2
2023/9/4, 36, 7, 19, 1, , 1
2023/9/5, 10, 10, 28, 3, 1, 1
2023/9/6, 20, 12, 36, 3, 1, 1
2023/9/7, 28, 12, 30, 4, 1, 2
2023/9/8, 22, 5, 21, 3, 1, 1
2023/9/9, 9, 4, 19, 2, , 1
2023/9/10, 5, 4, 30, 2, , 1
2023/9/11, 7, 15, 39, 4, 1, 1
2023/9/12, 27, 24, 47, 4, , 2
2023/9/13, 43, 22, 36, 4, 1, 2
2023/9/14, 42, 22, 41, 4, 1, 1
2023/9/15, 44, 27, 48, 5, 1, 2
2023/9/16, 53, 21, 40, 4, 1, 2
2023/9/17, 46, 23, 35, 4, , 1
2023/9/18, 50, 22, 34, 5, 1, 1
2023/9/19, 47, 24, 39, 4, , 1
2023/9/20, 40, 24, 38, 5, , 1
2023/9/21, 46, 23, 29, 5, , 1
2023/9/22, 44, 29, 37, 6, , 1
2023/9/23, 52, 26, 49, 5, , 1
2023/9/24, 48, 19, 26, 3, , 1
2023/9/25, 38, 20, 30, 4, , 1
2023/9/26, 33, 26, 36, 4, , 1
2023/9/27, 43, 23, 29, 6, , 2
2023/9/28, 42, 21, 37, 6, , 2
2023/9/29, 34, 29, 41, 4, , 2
2023/9/30, 54, 31, 46, 4, 1, 2
2023/10/1, 61, 37, 47, 4, 1, 2
2023/4/2, 87, 41, 46, 9, 2, 4
2023/4/3, 84, 43, 45, 7, 1, 2
2023/4/4, 68, 51, 43, 6, 1, 2
2023/4/5, 81, 44, 37, 6, 1, 2
2023/4/6, 72, 30, 30, 5, 1, 2
2023/4/7, 51, 28, 40, 9, 2, 3
2023/4/8, 55, 52, 63, 8, 2, 3
2023/4/9, 89, 49, 59, 9, 2, 3
2023/4/10, 75, 37, 47, 7, 1, 2
2023/4/11, 59, 41, 47, 11, 2, 2
2023/4/12, 67, 43, 49, 7, 1, 2
2023/4/13, 71, 83, 53, 9, 1, 2
2023/4/14, 125, 81, 36, 9, 1, 3
2023/4/15, 113, 36, 35, 8, , 3
