date, pm25, pm10, o3, no2, so2, co
2023/7/8, 95, 59, 32, 14, 13, 8
2023/7/9, 78, 54, 22, 13, 16, 8
2023/7/10, 90, 87, 23, 13, 15, 9
2023/7/11, 107, 83, 24, 20, 18, 18
2023/7/12, 136, 118, 21, 18, 9, 10
2023/7/13, 137, 102, 7, 17, 10, 9
2023/7/14, 121, 85, 12, 17, 16, 7
2023/7/15, 112, 79, 17, 15, 14, 9
2023/7/16, 111, 76, 12, 14, 13, 9
2023/7/17, 83, 79, 11, 15, 14, 10
2023/7/18, 110, 84, 2, 15, 12, 11
2023/7/19, 102, 66, 30, 17, 12, 7
2023/7/20, 111, 53, 58, 17, 15, 2
2023/7/21, 88, 64, 49, 16, 11, 10
2023/7/22, 105, 59, 57, 15, 7, 22
2023/7/23, 76, 43, 41, 21, 9, 25
2023/7/24, 66, 52, 42, 17, 6, 17
2023/7/25, 66, 59, 42, 15, 10, 3
2023/7/26, 81, 71, 27, 32, 8, 9
2023/7/27, 100, 71, 42, 16, 9, 7
2023/7/28, 122, 63, 39, 16, 8, 6
2023/7/29, 75, 67, 37, 16, 7, 6
2023/7/30, 97, 63, 39, 12, 9, 6
2023/7/31, 84, 54, 42, 13, 14, 5
2023/8/1, 90, 59, 41, 12, 13, 6
2023/8/2, 93, 73, 43, 12, 14, 6
2023/8/3, 97, 75, 38, 12, 9, 6
2023/8/4, 105, 65, 34, 19, 6, 7
2023/8/5, 86, 75, 33, 34, 7, 5
2023/8/6, 90, 75, 40, 15, 7, 6
2023/8/7, 92, 74, 36, 15, 8, 6
2023/8/8, 82, 78, 42, 13, 10, 7
2023/8/9, 96, 87, 41, 13, 11, 8
2023/8/10, 117, 86, 41, 14, 18, 8
2023/8/11, 115, 89, 43, 16, 14, 7
2023/8/12, 110, 82, 41, 13, 21, 8
2023/8/13, 102, 77, 40, 10, 11, 8
2023/8/14, 104, 79, 38, 13, 13, 8
2023/8/15, 98, 89, 40, 15, 15, 8
2023/8/16, 101, 93, 42, 14, 2, 7
2023/8/17, 105, 129, 39, 15, 2, 7
2023/8/18, 104, 148, 44, 27, 2, 7
2023/8/19, 100, 174, 40, 15, 1, 7
2023/8/20, 101, 173, 33, 10, 1, 7
2023/8/21, 87, 131, 33, 14, 3, 7
2023/8/22, 116, 73, 42, 14, 2, 7
2023/8/23, 115, 96, 36, 11, 2, 8
2023/8/24, 81, , 35, 14, 2, 7
2023/8/25, 78, , 33, 16, 4, 7
2023/8/26, 84, , 39, 17, 4, 7
2023/8/27, 102, , 38, 11, 2, 7
2023/8/28, 111, , 38, 14, 2, 8
2023/8/29, 88, , 39, 16, 3, 7
2023/8/30, 108, , 42, 16, 2, 8
2023/8/31, 93, 67, 53, 20, 3, 7
2023/9/1, 110, , 66, 21, 3, 7
2023/9/2, 118, , 61, 15, 1, 8
2023/9/3, 114, , 37, 17, 2, 7
2023/9/4, 115, , 33, 20, 1, 8
2023/9/5, 107, , 32, 15, 1, 6
2023/9/6, 97, , 36, 12, 1, 7
2023/9/7, 99, , 47, 13, 1, 7
2023/9/8, 75, 72, 39, 14, 2, 8
2023/9/9, 95, 112, 32, 15, 2, 8
2023/9/10, 94, 84, 32, 12, 2, 8
2023/9/11, 95, 99, 35, 14, 1, 7
2023/9/12, 92, 76, 32, 12, 2, 7
2023/9/13, 79, 76, 34, 17, 2, 8
2023/9/14, 96, 70, 31, 19, 2, 8
2023/9/15, 92, 79, 26, 17, 1, 8
2023/9/16, 108, 66, 20, 13, 2, 8
2023/9/17, 96, 51, 25, 19, 2, 8
2023/9/18, 95, 48, 30, 14, 4, 8
2023/9/19, 84, 49, 58, 17, 12, 7
2023/9/20, 87, 46, 46, 14, 8, 7
2023/9/21, 80, 73, 40, 16, 2, 8
2023/9/22, 115, 73, 37, 22, 1, 8
2023/9/23, 124, 86, 36, 20, , 8
2023/9/24, 118, 69, 33, 17, , 8
2023/9/25, 104, 91, 30, 22, 1, 8
2023/9/26, 8, 94, 39, 26, 4, 7
2023/9/27, 80, 108, 66, 30, 6, 7
2023/9/28, 153, 96, 67, 30, 6, 6
2023/9/29, 144, 93, 70, 39, 7, 8
2023/9/30, 137, 125, 49, 59, 7, 8
2023/10/1, 152, 112, 51, 27, 7, 8
2023/4/4, 81, 66, 1, 24, 10, 15
2023/4/5, 101, 61, 1, 22, 15, 21
2023/4/6, 80, 66, 3, 25, 12, 12
2023/4/7, 84, 77, 2, 37, 16, 14
2023/4/8, 107, 89, 1, 43, 13, 20
2023/4/9, 134, 119, 2, 41, 15, 16
2023/4/10, 143, 103, 2, 42, 17, 19
2023/4/11, 134, 86, 3, 29, 11, 16
2023/4/12, 116, 57, 1, 10, 13, 5
2023/4/13, 75, 104, , 19, 14, 10
2023/4/14, 102, 129, , 31, 15, 18
2023/4/15, 129, 178, , 22, 18, 10
2023/4/16, 136, 153, 1, 26, 18, 12
2023/4/17, 138, 190, 10, 28, 15, 12
2023/4/18, 110, 102, 1, 25, 14, 12
2023/4/19, 109, 144, 3, 22, 17, 12
2023/4/20, 115, 56, 3, 17, 14, 16
2023/4/21, 73, 90, 3, 18, 14, 12
2023/4/22, 105, 80, 3, 19, 12, 14
2023/4/23, 104, 86, 18, 18, 15, 9
2023/4/24, 97, 94, 28, 21, 14, 9
2023/4/25, 116, 119, 19, 42, 17, 17
2023/4/26, 134, 157, 18, 35, 18, 20
2023/4/27, 167, 133, 7, 35, 14, 12
2023/4/28, 134, 110, 7, 32, 18, 12
2023/4/29, 133, 87, 7, 32, 11, 11
2023/4/30, 130, 83, 7, 31, 18, 7
2023/5/1, 135, 81, 7, 35, 16, 12
2023/5/2, 120, , 9, 31, 14, 11
2023/5/4, 142, 77, 20, 29, 16, 17
2023/5/5, 103, 84, 18, 33, 16, 12
2023/5/6, 127, 68, 18, 25, 16, 14
2023/5/7, 88, 48, 18, 22, 18, 9
2023/5/8, 94, , 18, 26, 16, 11
2023/5/10, 91, 219, 15, 47, 16, 29
2023/5/11, 145, 116, 7, 43, 17, 20
2023/5/12, 135, 149, 10, 35, 16, 15
2023/5/13, 167, 110, 11, 27, 11, 14
2023/5/14, 175, 83, 13, 19, 11, 14
2023/5/15, 150, 85, 8, 15, 11, 10
2023/5/16, 126, 85, 21, 13, 8, 11
2023/5/17, 106, 81, 19, 14, 3, 4
2023/5/18, 94, 83, 19, 18, 17, 8
2023/5/19, 123, 95, 28, 21, 11, 15
2023/5/20, 102, , , , , 
2023/5/23, 84, 88, 19, 16, 7, 9
2023/5/24, 95, 93, 18, 16, 7, 12
2023/5/25, 101, 105, 18, 17, 8, 9
2023/5/26, 119, 89, 25, 16, 9, 9
2023/5/27, 107, 92, 25, 16, 9, 10
2023/5/28, 114, 85, 19, 15, 11, 9
2023/5/29, 114, 62, 18, 23, 9, 16
2023/5/30, 91, 99, 22, 48, 12, 18
2023/5/31, 127, 145, 19, 47, 17, 17
2023/6/1, 147, 85, 19, 19, 12, 11
2023/6/2, 100, 78, 19, 13, 8, 8
2023/6/3, 81, 84, 19, 17, 13, 9
2023/6/4, 110, 60, 19, 18, 11, 9
2023/6/5, 84, 95, 19, 18, 13, 13
2023/6/6, 109, 92, 19, 16, 12, 11
2023/6/7, 103, 81, 19, 16, 12, 9
2023/6/8, 91, 74, 19, 15, 10, 9
2023/6/9, 90, 71, 19, 16, 11, 11
2023/6/10, 100, 55, 19, 15, 10, 12
2023/6/11, 67, 68, 20, 15, 9, 11
2023/6/12, 77, 55, 19, 14, 10, 9
2023/6/13, 90, 75, 19, 13, 8, 8
2023/6/14, 95, 59, 19, 13, 11, 11
2023/6/15, 88, 64, 18, 12, 11, 11
2023/6/16, 73, 52, 18, 11, 11, 13
2023/6/17, 71, 70, 15, 12, 14, 16
2023/6/18, 104, 83, 12, 12, 11, 11
2023/6/19, 110, 79, 11, 13, 11, 10
2023/6/20, 119, 76, 10, 13, 8, 12
2023/6/21, 102, 73, 10, 13, 12, 14
2023/6/22, 113, 68, 11, 12, 11, 13
2023/6/23, 97, 70, 11, 12, 15, 11
2023/6/24, 91, 68, 12, 12, 12, 12
