date, pm25, pm10, o3, no2, so2, co
2019/6/12, 65, 33, 48, 6, 2, 7
2019/6/13, 59, 28, 42, 5, , 7
2019/6/14, 63, 29, 45, 6, 2, 7
2019/6/15, 57, 35, 55, 5, 3, 8
2019/6/16, 64, 31, 34, 10, 3, 10
2019/6/17, 67, 27, 54, 11, 3, 8
2019/6/18, 60, 32, 69, 8, 1, 8
2019/6/19, 51, 21, 39, 6, 2, 8
2019/6/20, 52, 34, 57, 6, 1, 9
2019/6/21, 65, 38, 39, 7, 2, 9
2019/6/22, 70, 54, 70, 6, 2, 7
2019/6/23, 76, 31, 61, 5, 3, 7
2019/6/24, 61, 46, 50, 5, 1, 7
2019/6/25, 67, 38, 37, 6, 4, 8
2019/6/26, 65, 22, 36, 5, 2, 7
2019/6/27, 51, 19, 34, 5, 1, 12
2019/6/28, 49, 21, 36, 5, 1, 7
2019/6/29, 52, 22, 38, 3, 1, 7
2019/6/30, 52, 21, 35, 5, 1, 8
2019/7/1, 46, 41, 12, 13, 2, 11
2019/1/7, 30, 26, 31, 7, 3, 7
2019/1/8, 84, 45, 38, 13, 3, 15
2019/1/9, 105, 52, 47, 22, 2, 12
2019/1/10, 92, 48, 42, 10, 2, 6
2019/1/11, 69, 48, 49, 10, 3, 9
2019/1/12, 73, 47, 32, 14, 2, 13
2019/1/13, 76, 32, 3, 12, 2, 13
2019/1/14, 75, , , , , 
2019/1/15, 62, , , , , 
2019/1/16, 69, , , , , 
2019/1/17, 112, , , , , 
2019/1/18, 63, , , , , 
2019/1/19, 64, , , , , 
2019/1/20, 106, , , , , 
2019/1/21, 50, 36, 32, 11, 2, 16
2019/1/22, 97, 50, 44, 26, 2, 11
2019/1/23, 89, 42, 42, 15, 3, 8
2019/1/24, 66, 43, 36, 16, 2, 11
2019/1/25, 100, 54, 37, 19, 4, 14
2019/1/26, 70, 47, 31, 18, 1, 11
2019/1/27, 53, 43, 27, 9, 1, 6
2019/1/28, 59, 38, 36, 15, 1, 10
2019/1/29, 106, 49, 46, 23, 3, 12
2019/1/30, 71, 49, 45, 24, 4, 12
2019/1/31, 55, 49, 35, 18, 2, 10
2019/2/1, 63, 45, 29, 17, 2, 12
2019/2/2, 54, 70, 2, 24, 4, 19
2019/2/3, 97, 51, 36, 19, 3, 12
2019/2/4, 82, 48, 37, 18, 3, 13
2019/2/5, 82, 52, 46, 24, 4, 13
2019/2/6, 78, 49, 36, 19, 4, 13
2019/2/7, 80, 51, 41, 17, 5, 11
2019/2/8, 90, 55, 58, 20, 3, 15
2019/2/9, 108, 60, 2, 34, 5, 22
