date, pm25, pm10, o3, no2, so2, co
2023/7/4, 62, 18, 36, 1, 5, 4
2023/7/5, 60, 22, 36, 3, 4, 5
2023/7/6, 48, 20, 35, 1, 3, 4
2023/7/7, 50, 24, 33, 1, 3, 4
2023/7/8, 54, 25, 37, 2, 3, 5
2023/7/9, 58, 24, 40, 2, 3, 4
2023/7/10, 54, 24, 41, 2, 3, 4
2023/7/11, 56, 28, 41, 2, 2, 4
2023/7/12, 57, 29, 45, 2, 2, 4
2023/7/13, 60, 28, 49, 2, 3, 5
2023/7/14, 61, 42, 63, 5, 4, 6
2023/7/15, 81, 39, 54, 6, 2, 4
2023/7/16, 76, 59, 64, 7, 3, 4
2023/7/17, 85, 47, 54, 5, 2, 4
2023/7/18, 75, 26, 36, 4, 3, 5
2023/7/19, 69, 15, 32, 5, 2, 4
2023/7/20, 21, 26, 35, 7, 4, 6
2023/7/21, 53, 28, 39, 3, 2, 4
2023/7/22, 48, 20, 35, 2, 3, 4
2023/7/23, 41, 20, 34, 4, 2, 6
2023/7/24, 42, 32, 40, 3, 2, 6
2023/7/25, 74, 29, 45, 4, 4, 6
2023/7/26, 66, 27, 42, 5, 3, 6
2023/7/27, 61, 21, 34, 5, 3, 5
2023/7/28, 53, 19, 33, 5, 3, 4
2023/7/29, 36, 23, 45, 4, 3, 3
2023/7/30, 50, 28, 40, 3, 3, 4
2023/7/31, 63, 23, 36, 3, 4, 4
2023/8/1, 51, 25, 32, 4, 5, 4
2023/8/2, 57, 24, 39, 6, 4, 4
2023/8/3, 51, 35, 57, 9, 4, 4
2023/8/4, 67, 53, 102, 10, 3, 6
2023/8/5, 99, 40, 52, 4, 1, 5
2023/8/6, 77, 26, 40, 2, 2, 4
2023/8/7, 57, 34, 61, 5, 2, 5
2023/8/8, 69, 33, 62, 5, 2, 5
2023/8/9, 70, 29, 51, 5, 3, 7
2023/8/10, 66, 40, 63, 5, 1, 7
2023/8/11, 85, 49, 58, 7, 1, 6
2023/8/12, 105, 38, 46, 4, 4, 5
2023/8/13, 78, 35, 55, 5, 3, 5
2023/8/14, 72, 37, 55, 6, 1, 4
2023/8/15, 83, 42, 64, 9, 2, 6
2023/8/16, 89, 47, 62, 11, 2, 6
2023/8/17, 104, 44, 83, 9, 3, 5
2023/8/18, 92, 46, 80, 9, 2, 6
2023/8/19, 91, 49, 82, 6, 3, 7
2023/8/20, 101, 48, 85, 5, 3, 8
2023/8/21, 105, 43, 38, 2, 3, 7
2023/8/22, 86, 25, 57, 5, 3, 8
2023/8/23, 58, 32, 57, 4, 3, 7
2023/8/24, 62, 48, 66, 5, 4, 8
2023/8/25, 91, 51, 66, 5, 3, 8
2023/8/26, 95, 38, 41, 3, 3, 6
2023/8/27, 79, 26, 32, 4, 4, 6
2023/8/28, 62, 18, 27, 4, 2, 6
2023/8/29, 27, 40, 37, 8, 3, 7
2023/8/30, 80, 43, 48, 8, 2, 7
2023/8/31, 88, 41, 59, 6, 3, 7
2023/9/1, 85, 42, 63, 6, 3, 6
2023/9/2, 86, 39, 62, 7, 3, 7
2023/9/3, 82, 33, 36, 7, 2, 7
2023/9/4, 76, 35, 63, 5, 3, 7
2023/9/5, 81, 41, 57, 6, 2, 6
2023/9/6, 100, 35, 28, 11, 3, 6
2023/9/7, 82, 24, 30, 7, 3, 6
2023/9/8, 58, 34, 41, 4, 3, 6
2023/9/9, 76, 35, 47, 4, , 6
2023/9/10, 80, 37, 57, 5, 1, 6
2023/9/11, 80, 25, 38, 3, , 6
2023/9/12, 65, 28, 36, 4, 1, 6
2023/9/13, 73, 12, 33, 4, 2, 7
2023/9/14, 20, 22, 28, 6, 4, 7
2023/9/15, 48, 14, 30, 4, 3, 7
2023/9/16, 39, 31, 47, 8, 3, 8
2023/9/17, 55, 32, 39, 5, 5, 7
2023/9/18, 74, 28, 40, 4, 6, 7
2023/9/19, 62, 31, 42, 4, 5, 6
2023/9/20, 67, 32, 26, 5, 4, 5
2023/9/21, 68, 13, 25, 4, 4, 7
2023/9/22, 28, 29, 24, 6, 4, 5
2023/9/23, 48, 35, 22, 9, 3, 5
2023/9/24, 74, 36, 9, 11, 2, 6
2023/9/25, 74, 31, 24, 6, 2, 5
2023/9/26, 60, 31, 30, 7, 1, 6
2023/9/27, 67, 46, 38, 8, 2, 7
2023/9/28, 91, 46, 42, 10, 2, 7
2023/9/29, 95, 52, 60, 7, 2, 6
2023/9/30, 106, 45, 29, 5, 2, 6
2023/10/1, 97, 39, 17, 6, 2, 6
2023/4/2, 107, 43, 39, 8, 4, 6
2023/4/3, 107, 22, 34, 3, 3, 5
2023/4/4, 58, 11, 25, 5, 3, 4
2023/4/5, 36, 22, 32, 8, 2, 3
2023/4/6, 76, 12, 40, 9, 2, 3
2023/4/7, 78, 62, 46, 13, 3, 4
2023/4/8, 99, 74, 61, 16, 4, 4
2023/4/9, 107, 63, 66, 11, 4, 4
2023/4/10, 118, 60, 38, 10, 5, 6
2023/4/11, 126, 33, 31, 7, 4, 7
2023/4/12, 84, , 55, 8, 2, 9
2023/4/13, 154, 48, 53, 6, 4, 9
2023/4/14, 115, 34, 35, 6, 3, 7
2023/4/15, 121, 87, 65, 11, 4, 8
2023/4/16, 125, 69, 66, 7, 5, 6
2023/4/17, 120, 56, 73, 6, 5, 6
2023/4/18, 103, 31, 38, 5, 3, 7
2023/4/19, 77, 20, 46, 7, 3, 8
2023/4/20, 26, 39, 58, 10, 3, 9
2023/4/21, 89, 41, 57, 8, 4, 8
2023/4/22, 100, 39, 25, 6, 4, 3
2023/4/23, 79, 9, 16, 7, 3, 3
2023/4/24, 35, 10, 14, 8, 3, 4
2023/4/25, 48, 27, 36, 7, 3, 4
2023/4/26, 71, 24, 56, 9, 3, 4
2023/4/27, 79, 36, 33, 8, 5, 5
2023/4/28, 99, 32, 27, 11, 4, 7
2023/4/29, 98, 77, 39, 5, , 3
2023/4/30, 100, 91, 66, 11, 1, 4
2023/5/1, 125, 66, 62, 10, 2, 5
2023/5/2, 108, 62, 41, 7, 4, 6
2023/5/3, 117, 32, 40, 1, 2, 4
2023/5/4, 74, 24, 37, 2, 1, 3
2023/5/5, 65, 20, 38, 5, , 5
2023/5/6, 67, 13, 26, 5, 1, 6
2023/5/7, 41, 39, 36, 5, , 4
2023/5/8, 79, 42, 59, 7, 1, 4
2023/5/9, 102, 42, 62, 11, 2, 5
2023/5/10, 103, 39, 30, 8, 1, 5
2023/5/11, 107, 40, 37, 6, 1, 5
2023/5/12, 105, 50, 69, 9, 2, 8
2023/5/13, 131, 51, 59, 11, 4, 6
2023/5/14, 120, 53, 59, 8, 4, 6
2023/5/15, 139, 51, 58, 7, 4, 6
2023/5/16, 126, 50, 39, 8, 5, 7
2023/5/17, 124, 34, 48, 7, 2, 5
2023/5/18, 88, 37, 61, 12, 3, 6
2023/5/19, 80, 48, 84, 10, 3, 6
2023/5/20, 115, 40, 44, 4, 3, 5
2023/5/21, 103, 32, 32, 3, 2, 6
2023/5/22, 88, 48, 29, 5, 2, 4
2023/5/23, 77, 45, 31, 6, 2, 5
2023/5/24, 89, 37, 56, 4, 2, 5
2023/5/25, 93, 31, 36, 5, 3, 6
2023/5/26, 77, 28, 35, 4, 2, 6
2023/5/27, 74, 22, 36, 3, 1, 5
2023/5/28, 56, 30, 57, 3, 1, 5
2023/5/29, 75, 45, 74, 8, 2, 6
2023/5/30, 103, 56, 37, 5, 1, 7
2023/5/31, 123, 35, 53, 4, 1, 
2023/6/1, 61, 46, 53, 6, 1, 8
2023/6/2, 83, 43, 78, 7, 2, 7
2023/6/3, 102, 50, 75, 6, 2, 5
2023/6/4, 96, 55, 97, 6, 2, 6
2023/6/5, 102, 38, 31, 4, 1, 5
2023/6/6, 88, 33, 65, 5, 2, 6
2023/6/7, 75, 34, 59, 5, 1, 7
2023/6/8, 83, 39, 44, 6, 1, 8
2023/6/9, 94, 31, 54, 5, , 7
2023/6/10, 83, 23, 46, 4, 1, 6
2023/6/11, 55, 39, 71, 7, 3, 7
2023/6/12, 72, 46, 95, 7, 3, 6
2023/6/13, 86, 32, 45, 4, 3, 6
2023/6/14, 76, 41, 56, 5, 1, 7
2023/6/15, 90, 45, 60, 9, 2, 8
2023/6/16, 91, 41, 44, 5, 2, 6
2023/6/17, 94, 24, 35, 1, 1, 5
2023/6/18, 50, 18, 33, 1, 1, 4
2023/6/19, 29, 28, 31, 4, 2, 8
2023/6/20, 32, 24, 27, 6, 2, 7
2023/6/22, 35, 14, 39, 2, 1, 6
2023/6/23, 27, 18, 42, 2, 2, 6
2023/6/24, 36, 31, 41, 4, 2, 4
2023/6/25, 61, 17, 36, 4, 2, 5
2023/6/26, 46, 9, 25, 1, 2, 2
2023/6/27, 12, 18, 32, 2, 2, 1
2023/6/28, 25, 23, 45, 3, 2, 2
2023/6/29, 38, 24, 40, 4, 2, 1
2023/6/30, 44, 28, 40, 4, 3, 2
2023/7/1, 54, 28, 44, 4, 2, 4
2023/1/3, 193, 72, 33, 15, 1, 5
2023/1/4, 167, 67, 38, 16, 2, 5
2023/1/5, 162, 86, 57, 22, 3, 6
2023/1/6, 184, 129, 47, 22, 4, 6
2023/1/7, 235, 103, 45, 26, 4, 14
2023/1/8, 196, 77, 46, 18, 5, 10
2023/1/9, 159, 57, 29, 13, 3, 6
2023/1/10, 141, 149, 47, 21, 4, 10
2023/1/11, 278, 123, 49, 22, 5, 10
2023/1/12, 243, 55, 17, 9, 4, 7
2023/1/13, 145, 28, 22, 12, 4, 8
