date, pm25, pm10, o3, no2, so2, co
2023/9/1, 33, 23, 41, 3, 4, 1
2023/9/2, 18, 26, 42, 5, 4, 1
2023/9/3, 24, 29, 46, 4, 4, 1
2023/9/4, 24, 22, 38, 4, 4, 2
2023/9/5, 20, 11, 35, 3, 4, 1
2023/9/6, 24, 14, 35, 5, 4, 2
2023/9/7, 27, 24, 41, 8, 4, 3
2023/9/8, 20, 15, 40, 2, 4, 1
2023/9/9, 24, 18, 39, 6, 4, 2
2023/9/10, 28, 24, 37, 6, 4, 2
2023/9/11, 30, 37, 42, 8, 5, 2
2023/9/12, 32, 37, 40, 4, 4, 1
2023/9/13, 21, 41, 31, 4, 4, 2
2023/9/14, 26, 45, 33, 5, 4, 1
2023/9/15, 28, 39, 26, 2, 4, 1
2023/9/16, 24, 12, 28, 5, 4, 2
2023/9/17, 23, 11, 30, 6, 4, 2
2023/9/18, 30, 17, 33, 9, 4, 3
2023/9/19, 27, 39, 33, 11, 4, 2
2023/9/20, 26, 31, 35, 7, 4, 1
2023/9/21, 21, 19, 32, 5, 4, 2
2023/9/22, 26, 9, 26, 4, 4, 2
2023/9/23, 25, 12, 30, 5, 4, 2
2023/9/24, 22, 12, 28, 1, 4, 1
2023/9/25, 21, 9, 23, 3, 4, 2
2023/9/26, 20, 12, 32, 3, 4, 1
2023/9/27, 24, 13, 28, 5, 4, 1
2023/9/28, 22, 18, 27, 7, 4, 3
2023/9/29, 26, 27, 29, 11, 4, 3
2023/9/30, 35, 28, 32, 8, 5, 2
2023/10/1, 24, 15, 31, 4, 4, 1
2023/4/2, 25, 22, 38, 1, 3, 1
2023/4/3, 23, 19, 37, 1, 2, 1
2023/4/4, 24, 23, 37, 5, 2, 1
2023/4/5, 26, 33, 38, 5, 2, 1
2023/4/6, 29, 65, 43, 8, 3, 2
2023/4/7, 50, 79, 41, 8, 3, 2
2023/4/8, 63, 42, 40, 1, 3, 1
2023/4/9, 41, 24, 44, 1, 3, 1
2023/4/10, 22, 17, 36, 2, 2, 1
2023/4/11, 24, 21, 36, 8, 3, 1
2023/4/12, 21, 12, 39, 1, , 1
2023/4/13, 20, 25, 35, 4, 3, 1
2023/4/14, 24, 28, 39, 5, 3, 3
2023/4/15, 24, 58, 53, 8, 3, 2
2023/4/16, 28, 25, 46, , 3, 1
2023/4/17, 20, 16, 40, 1, 3, 1
2023/4/18, 22, 26, 41, , 2, 1
2023/4/19, 21, 24, 37, 2, 3, 1
2023/4/20, 27, 19, 38, 3, 2, 1
2023/4/21, 28, 23, 40, 3, 3, 1
2023/4/22, 23, 17, 42, 1, 3, 1
2023/4/23, 21, 18, 43, 2, 3, 1
2023/4/24, 27, 20, 47, 4, 3, 1
2023/4/25, 28, 25, 39, 3, 3, 1
2023/4/26, 26, 23, 37, 2, 3, 1
2023/4/27, 32, 12, 44, 2, 3, 1
2023/4/28, 20, 30, 49, 2, 3, 1
2023/4/29, 27, 31, 58, 4, 3, 1
2023/4/30, 25, 47, 49, 1, 4, 1
2023/5/1, 36, 36, 49, 1, 3, 1
2023/5/2, 27, 39, 40, , 3, 1
2023/5/3, 35, 16, 37, 1, 3, 1
2023/5/4, 25, 14, 35, 2, 3, 1
2023/5/5, 24, 14, 39, 1, 3, 1
2023/5/6, 25, 14, 40, 2, 3, 2
2023/5/7, 24, 18, 41, 4, 3, 1
2023/5/8, 23, 22, 42, 2, 3, 1
2023/5/9, 20, 29, 46, 3, 3, 1
2023/5/10, 25, 30, 53, 4, 3, 1
2023/5/11, 29, 32, 53, 7, 3, 2
2023/5/12, 36, 41, 53, 9, 3, 2
2023/5/13, 41, 36, 42, 2, 3, 1
2023/5/14, 26, 37, 41, 1, 3, 1
2023/5/15, 26, 22, 42, 1, 3, 1
2023/5/16, 21, 18, 41, 1, 3, 1
2023/5/17, 23, 19, 42, 2, 3, 2
2023/5/18, 33, 31, 46, 3, 3, 1
2023/5/19, 35, 28, 40, 2, 3, 1
2023/5/20, 25, 17, 39, 1, 3, 1
2023/5/21, 24, 14, 48, 3, 3, 1
2023/5/22, 25, 13, 41, 1, 3, 1
2023/5/23, 25, 17, 41, , 3, 1
2023/5/24, 27, 19, 43, 1, 3, 1
2023/5/25, 18, 24, 42, , 3, 1
2023/5/26, 20, 21, 43, , 3, 1
2023/5/27, 23, 23, 40, 2, 3, 1
2023/5/28, 28, 19, 40, , 3, 1
2023/5/29, 22, 13, 38, 1, 3, 1
2023/5/30, 20, 16, 34, 1, 3, 1
2023/5/31, 16, 14, 40, 2, 3, 1
2023/6/1, 23, 26, 36, , 3, 1
2023/6/2, 32, 21, 42, 3, 3, 1
2023/6/3, 23, 22, 40, 4, 3, 1
2023/6/4, 27, 13, 40, 1, 3, 1
2023/6/5, 25, 20, 49, 6, 3, 2
2023/6/6, 25, 28, 54, 6, 4, 3
2023/6/7, 31, 36, 59, 8, 4, 2
2023/6/8, 39, 33, 46, 2, 4, 1
2023/6/9, 28, 23, 49, 5, 4, 2
2023/6/10, 24, 26, 59, 5, 4, 1
2023/6/11, 29, 51, 48, 1, 4, 1
2023/6/12, 45, 31, 62, 1, 3, 1
2023/6/13, 54, 38, 53, 4, 3, 2
2023/6/14, 46, 40, 56, 7, 4, 2
2023/6/15, 48, 28, 44, 4, 4, 1
2023/6/16, 34, 20, 47, 2, 4, 1
2023/6/17, 22, 21, 50, 3, 4, 2
2023/6/18, 31, 26, 59, 5, 4, 1
2023/6/19, 20, 29, 55, 4, 4, 2
2023/6/20, 26, 37, 50, 3, 4, 1
2023/6/21, 26, 21, 49, 2, 4, 1
2023/6/22, 20, 19, 50, 2, 4, 1
2023/6/23, 26, 14, 47, 2, 4, 1
2023/6/24, 21, 18, 38, 2, 4, 1
2023/6/25, 23, 21, 43, 2, 4, 1
2023/6/26, 24, 17, 40, 2, 4, 1
2023/6/27, 19, 17, 50, 4, 4, 1
2023/6/28, 22, 28, 47, 6, 4, 2
2023/6/29, 26, 14, 40, , 4, 1
2023/6/30, 23, 11, 41, 2, 3, 1
2023/7/1, 23, 12, 40, 4, 4, 1
2023/1/3, 174, 98, 25, 27, 7, 11
2023/1/4, 183, 88, 19, 25, 5, 10
2023/1/5, 174, 84, 49, 18, 4, 9
2023/1/6, 168, 46, 20, 18, 4, 6
2023/1/7, 108, 72, 24, 18, 3, 8
2023/1/8, 160, 57, 20, 18, 3, 7
2023/1/9, 131, 48, 23, 14, 3, 8
2023/1/10, 114, 67, 15, 20, 2, 9
2023/1/11, 149, 45, 23, 6, 4, 3
2023/1/12, 80, 19, 24, 2, 4, 2
2023/1/13, 30, 16, 17, 7, 2, 2
2023/1/14, 29, 24, 16, 8, 2, 3
2023/1/15, 42, 44, 17, 10, 3, 4
2023/1/16, 97, 62, 18, 14, 4, 5
2023/1/17, 141, 66, 17, 15, 3, 7
2023/1/18, 153, 69, 20, 15, 5, 6
2023/1/19, 157, 72, 17, 20, 3, 7
2023/1/20, 159, 67, 22, 17, 4, 5
2023/1/21, 144, 78, 31, 15, 5, 6
2023/1/22, 163, 58, 28, 8, 7, 4
2023/1/23, 121, 23, 26, 7, 3, 2
2023/1/24, 57, 29, 22, 9, 3, 2
2023/1/25, 65, 51, 30, 6, 3, 4
2023/1/26, 113, 57, 24, 12, 3, 5
2023/1/27, 126, 54, 27, 11, 2, 4
2023/1/28, 102, 54, 25, 13, 3, 4
2023/1/29, 107, 64, 19, 18, 3, 7
2023/1/30, 134, 86, 27, 16, 4, 9
2023/1/31, 168, 80, 32, 15, 3, 8
2023/2/1, 162, 82, 26, 20, 3, 9
2023/2/2, 164, 82, 27, 24, 4, 9
2023/2/3, 165, 77, 39, 23, 4, 8
2023/2/4, 160, 70, 40, 16, 4, 7
2023/2/5, 150, 69, 36, 12, 3, 7
2023/2/6, 147, 70, 28, 12, 3, 7
2023/2/7, 145, 28, 36, 5, 3, 5
2023/2/8, 64, 29, 39, 6, 2, 6
2023/2/9, 71, 20, 36, 5, 2, 4
2023/2/10, 49, 20, 35, 4, 2, 3
2023/2/11, 44, 25, 32, 8, 2, 3
2023/2/12, 53, 29, 31, 13, 3, 3
2023/2/13, 64, 30, 27, 13, 3, 4
2023/2/14, 67, 44, 26, 16, 3, 4
2023/2/15, 87, 53, 30, 17, 3, 5
2023/2/16, 113, 57, 41, 11, 3, 5
2023/2/17, 123, 54, 36, 12, 2, 5
2023/2/18, 115, 41, 34, 12, 2, 3
2023/2/19, 64, 49, 33, 16, 3, 3
2023/2/20, 88, 56, 35, 18, 2, 4
2023/2/21, 103, 65, 34, 22, 3, 6
2023/2/22, 136, 69, 35, 20, 4, 6
2023/2/23, 147, 77, 41, 21, 4, 7
2023/2/24, 155, 72, 37, 25, 3, 8
2023/2/25, 150, 75, 44, 25, 3, 7
2023/2/26, 145, 27, 35, 2, 2, 2
2023/2/27, 33, 25, 29, 6, 2, 2
2023/2/28, 37, 26, 33, 8, 2, 1
2023/3/1, 41, 41, 29, 10, 3, 3
2023/3/2, 78, 49, 27, 7, 2, 2
2023/3/3, 95, 50, 26, 10, 2, 3
2023/3/4, 97, 54, 31, 9, 2, 3
2023/3/5, 104, 61, 34, 15, 3, 3
2023/3/6, 112, 63, 46, 12, 3, 4
2023/3/7, 113, 68, 42, 12, 3, 5
2023/3/8, 117, 49, 33, 12, 3, 4
2023/3/9, 68, 34, 36, 4, 2, 2
2023/3/10, 32, 28, 32, 1, , 1
2023/3/11, 26, 36, 33, 4, 2, 2
2023/3/12, 28, 65, 30, 7, 3, 2
2023/3/13, 31, 61, 28, 6, 3, 2
2023/3/14, 29, 23, 27, 3, 2, 1
2023/3/15, 26, 30, 28, 8, 2, 2
2023/3/16, 34, 24, 30, 8, 3, 2
2023/3/17, 33, 11, 35, 4, 3, 1
2023/3/18, 19, 72, 30, 4, 3, 3
2023/3/19, 58, 21, 34, 1, 3, 1
2023/3/20, 28, 11, 37, 4, 3, 1
2023/3/21, 28, 25, 33, 3, 2, 1
2023/3/22, 26, 27, 35, 5, 2, 1
2023/3/23, 29, 25, 35, 7, 3, 2
2023/3/24, 27, 32, 38, 10, 3, 2
2023/3/25, 28, 24, 39, 7, 3, 2
2023/3/26, 32, 19, 41, 8, 3, 1
2023/3/27, 28, 31, 39, 8, 3, 1
2023/3/28, 28, 19, 39, 6, 3, 1
2023/3/29, 23, 17, 42, 4, 3, 1
2023/3/30, 26, 32, 43, 7, 3, 2
2023/3/31, 22, 46, 37, 2, 3, 1
2023/4/1, 29, 20, 41, , 2, 1
2022/10/2, 26, 12, 22, 5, 2, 1
2022/10/3, 27, 15, 26, 5, 2, 1
2022/10/4, 23, 21, 23, 9, 2, 1
2022/10/5, 26, 38, 25, 9, 2, 2
